sha10,family,source,num_perms,total_strings,note
537f087551,SpyNote,modern_eval,0,0,no C2 extracted - needs manual review
536cb0e2ff,unknown,modern_eval,5,174,no C2 extracted - needs manual review
5494db78d0,Gen,abusech,0,2082,no C2 extracted - needs manual review
5606655728,a,androzoo_drebin,4,23,no C2 extracted - needs manual review
5af77b5f5d,AdLibrary,abusech,0,6236,no C2 extracted - needs manual review
5cad494f67,unknown,modern_eval,7,685,no C2 extracted - needs manual review
5f94e59c13,CraxsRAT,modern_eval,0,1681,no C2 extracted - needs manual review
61d4518fac,Andr/Xgen2-AYJ,modern_eval,6,1049,no C2 extracted - needs manual review
6376bcd8fa,Dropper,abusech,25,643,no C2 extracted - needs manual review
6725dfc3cb,Opfake,androzoo_drebin,20,310,no C2 extracted - needs manual review
669b75fd26,Trojan-Banker,abusech,0,0,no C2 extracted - needs manual review
6a01a9e0fc,FakeInst,androzoo_drebin,4,87,no C2 extracted - needs manual review
6d8f8367ea,Exploit,androzoo_drebin,4,159,no C2 extracted - needs manual review
7365190230,AndroidOS,abusech,0,1854,no C2 extracted - needs manual review
73b2fd2dfb,Opfake,androzoo_drebin,19,309,no C2 extracted - needs manual review
77eef34639,unknown,modern_eval,5,155,no C2 extracted - needs manual review
767c218be4,GenericKD,abusech,39,1303,no C2 extracted - needs manual review
72f18d0191,SpyNote,modern_eval,0,0,no C2 extracted - needs manual review
789d04c934,GenericKD,abusech,0,55,no C2 extracted - needs manual review
7e8693dfed,Gen,abusech,0,39,no C2 extracted - needs manual review
818e891765,AndroidOS,abusech,0,3629,no C2 extracted - needs manual review
84ddfdd786,unknown,modern_eval,0,0,no C2 extracted - needs manual review
85a44fd513,unknown,modern_eval,0,86,no C2 extracted - needs manual review
95236ef717,Andr/Banker-HDY,abusech,0,4026,no C2 extracted - needs manual review
9c97d8ba3c,General,abusech,0,8833,no C2 extracted - needs manual review
9b5905a253,BankBot,abusech,0,0,no C2 extracted - needs manual review
a93d66a127,Agent,abusech,28,3629,no C2 extracted - needs manual review
abf62033c4,Trojan ( 005cbb901 ),abusech,0,1970,no C2 extracted - needs manual review
addbd8770b,unknown,modern_eval,0,6409,no C2 extracted - needs manual review
ad9f39e616,Agent,abusech,0,1981,no C2 extracted - needs manual review
b459673b77,Andr/Xgen2-AYJ,modern_eval,6,1049,no C2 extracted - needs manual review
b4dadf3553,33107585,abusech,30,3571,no C2 extracted - needs manual review
b634c8c0ec,unknown,modern_eval,7,685,no C2 extracted - needs manual review
bca248d31b,AndroidOS,abusech,0,4087,no C2 extracted - needs manual review
beeeb3cafc,Spitmo,androzoo_drebin,7,14,no C2 extracted - needs manual review
c17aff83c3,unknown,modern_eval,0,79,no C2 extracted - needs manual review
bf586ec8ce,SpyNote,modern_eval,0,0,no C2 extracted - needs manual review
c3c7df1275,GenericKD,abusech,39,1233,no C2 extracted - needs manual review
c5996e7a70,GenericKD,abusech,38,3111,no C2 extracted - needs manual review
c8bb60d2a8,FakeInst,androzoo_drebin,4,67,no C2 extracted - needs manual review
c565f4b9b3,GenericKD,abusech,0,103,no C2 extracted - needs manual review
ca9ae76de1,unknown,modern_eval,0,0,no C2 extracted - needs manual review
cb0a4a7588,unknown,modern_eval,0,86,no C2 extracted - needs manual review
ccb7b86f05,FakeInst,androzoo_drebin,4,87,no C2 extracted - needs manual review
cb7744fe63,unknown,modern_eval,0,0,no C2 extracted - needs manual review
cbc71b0bd3,unknown,modern_eval,0,684,no C2 extracted - needs manual review
ceb48e4b9d,GenericKD,abusech,0,55,no C2 extracted - needs manual review
d2588ff436,Opfake,androzoo_drebin,20,310,no C2 extracted - needs manual review
d472e11436,SpyNote,modern_eval,0,26,no C2 extracted - needs manual review
d44d9cef26,Opfake,androzoo_drebin,20,310,no C2 extracted - needs manual review
d65ae353ce,Agent,abusech,23,312,no C2 extracted - needs manual review
d76c3dc554,AndroidOS,androzoo_drebin,7,45,no C2 extracted - needs manual review
d6d1f2dd6d,unknown,modern_eval,0,0,no C2 extracted - needs manual review
d846f593c4,AndroidOS,androzoo_drebin,10,23,no C2 extracted - needs manual review
d7ddce8503,AppRisk,abusech,0,13574,no C2 extracted - needs manual review
dbfc18d920,AndroidOS,abusech,0,13574,no C2 extracted - needs manual review
d98a9aac37,AndroidOS,androzoo_drebin,4,23,no C2 extracted - needs manual review
d8b3327efe,UKP,modern_eval,0,0,no C2 extracted - needs manual review
d921e4c59b,Trojan-Dropper,abusech,7,132,no C2 extracted - needs manual review
dea110082d,SpyNote,modern_eval,0,11842,no C2 extracted - needs manual review
decf0f2e6d,Banker,abusech,6,19163,no C2 extracted - needs manual review
e09615bfdc,Agent,androzoo_drebin,18,258,no C2 extracted - needs manual review
e0f530acc6,Andr/Banker-HDY,abusech,0,3735,no C2 extracted - needs manual review
e4a321eff0,HEUR,abusech,0,5299,no C2 extracted - needs manual review
e6e736df19,AndroidOS,abusech,13,1083,no C2 extracted - needs manual review
e763dd5e7a,AndroidOS,modern_eval,0,0,no C2 extracted - needs manual review
e9cee469d3,FakeInst,androzoo_drebin,4,87,no C2 extracted - needs manual review
ec3ac26dc8,Banker,abusech,0,1269,no C2 extracted - needs manual review
f5b84a261a,unknown,modern_eval,0,684,no C2 extracted - needs manual review
fca210ed8b,GhostBat,modern_eval,39,123,no C2 extracted - needs manual review
fea09cb621,General,modern_eval,0,3,no C2 extracted - needs manual review
fd743672c9,Opfake,androzoo_drebin,15,61,no C2 extracted - needs manual review
ff742233c4,AndroidOS,abusech,0,5,no C2 extracted - needs manual review
