sha256,source,family,is_malware,confidence,vt_detections,gt_reason,apk_path
000091f2fac1083dc578240acf9d24ede3ce7b9f9e517b37f44a2cdae0ff0fb3,AndroZoo,Adware,yes,high,27,vt_consensus_27,D:\DroidForensix\samples\malware\androzoo\000091f2fac1083dc578240acf9d24ede3ce7b9f9e517b37f44a2cdae0ff0fb3.apk
00009ae5a877e56bb367d919f4393414bb49ffef94c84ae122f8c85a9ad522c3,AndroZoo,Jiagu,yes,high,11,vt_consensus_11,D:\DroidForensix\samples\malware\androzoo\00009ae5a877e56bb367d919f4393414bb49ffef94c84ae122f8c85a9ad522c3.apk
00009c58545b6b6fa22f5c2be900abb1b4029acf7ac57196d97fd1c0298886e2,AndroZoo,Jiagu,yes,medium,8,vt_detected_7,D:\DroidForensix\samples\malware\androzoo\00009c58545b6b6fa22f5c2be900abb1b4029acf7ac57196d97fd1c0298886e2.apk
0000a053de676b4d381cc35632d0e5ab67c098bd2c8fb55571750c07f888c465,AndroZoo,AndroidOS,yes,high,17,vt_consensus_17,D:\DroidForensix\samples\malware\androzoo\0000a053de676b4d381cc35632d0e5ab67c098bd2c8fb55571750c07f888c465.apk
0000a6d452d58424a8b7613f175af5937f590033616b808bf8c0445695f82541,AndroZoo,Adware,yes,high,23,vt_consensus_23,D:\DroidForensix\samples\malware\androzoo\0000a6d452d58424a8b7613f175af5937f590033616b808bf8c0445695f82541.apk
0000b2ee9720dd6028e5cac22cb3689f1b67dd26113b30c3d2698c362809b892,AndroZoo,Cnzz,yes,high,29,vt_consensus_29,D:\DroidForensix\samples\malware\androzoo\0000b2ee9720dd6028e5cac22cb3689f1b67dd26113b30c3d2698c362809b892.apk
0000bbba321e673b89da37baf825c9e28c66ba72535fb42d11f8b5c35ae53abb,AndroZoo,Adware,yes,high,25,vt_consensus_25,D:\DroidForensix\samples\malware\androzoo\0000bbba321e673b89da37baf825c9e28c66ba72535fb42d11f8b5c35ae53abb.apk
0000bbe0733122b3872576fb080df7fded864325f193b36acf0fcb9e0a74c5d8,AndroZoo,Dowgin,yes,high,28,vt_consensus_28,D:\DroidForensix\samples\malware\androzoo\0000bbe0733122b3872576fb080df7fded864325f193b36acf0fcb9e0a74c5d8.apk
0000c26310f1042ba3c2755a44addd13d1befb90ee1041b47585529eb3757c07,AndroZoo,Adware,yes,high,28,vt_consensus_28,D:\DroidForensix\samples\malware\androzoo\0000c26310f1042ba3c2755a44addd13d1befb90ee1041b47585529eb3757c07.apk
0000d3e05cfad4c3f301f8b47986354aaca80ac236c5934ec287d91e3efc037b,AndroZoo,Secapk,yes,high,28,vt_consensus_28,D:\DroidForensix\samples\malware\androzoo\0000d3e05cfad4c3f301f8b47986354aaca80ac236c5934ec287d91e3efc037b.apk
0000d4ba8d3decb4403a8e3bc94347552469aa761e34763da22602da891619f5,AndroZoo,Linux,yes,high,29,vt_consensus_29,D:\DroidForensix\samples\malware\androzoo\0000d4ba8d3decb4403a8e3bc94347552469aa761e34763da22602da891619f5.apk
003d2fd8ef8fc9d4765e4bbc650ecd20ef339be94606486629c003f683cb5982,abusech,Agent,yes,high,35,vt_consensus_35,D:\DroidForensix\samples\malware\abusech\hydra_003d2fd8ef8fc9d4765e4bbc650ecd20ef339be94606486629c003f683cb5982.apk
00696116790f5c398de19e9184da0b32ac011bc30e9c18e14ca8ffd2c3dec7b8,androzoo_drebin,FakeInst,yes,high,40,vt_consensus_36,D:\DroidForensix\samples\malware\androzoo_drebin\FakeInstaller_00696116790f5c398de19e9184da0b32ac011bc30e9c18e14ca8ffd2c3dec7b8.apk
016ab069253276cbface350265f0a2d5f10f38e3c7888dcc976698216c2bdeea,androzoo_drebin,Backdoor,yes,high,39,vt_consensus_39,D:\DroidForensix\samples\malware\androzoo_drebin\SerBG_016ab069253276cbface350265f0a2d5f10f38e3c7888dcc976698216c2bdeea.apk
018f8548c055a31d98201874ebf21591e6d85cb9eee66e8c35716a9289d01f48,abusech,AndroidOS,yes,high,22,vt_consensus_22,D:\DroidForensix\samples\malware\abusech\unknown_018f8548c055a31d98201874ebf21591e6d85cb9eee66e8c35716a9289d01f48.apk
022c88f2397b59ef6394db385163b1ed44c5a4b720f667ca3b91983b04f89433,androzoo_drebin,Opfake,yes,high,40,vt_consensus_40,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_022c88f2397b59ef6394db385163b1ed44c5a4b720f667ca3b91983b04f89433.apk
025ab95fa2b88dabc0894d575ae0b961f1b22c2da2adf1569c35ba1a7e776970,androzoo_drebin,Kmin,yes,high,37,vt_consensus_37,D:\DroidForensix\samples\malware\androzoo_drebin\Kmin_025ab95fa2b88dabc0894d575ae0b961f1b22c2da2adf1569c35ba1a7e776970.apk
03385b42f9dffe697a883aac40042188e658145e8d67e0dab9d665501d7e02aa,androzoo_drebin,Opfake,yes,high,32,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_03385b42f9dffe697a883aac40042188e658145e8d67e0dab9d665501d7e02aa.apk
03818f12d9e7676c30efceb7b4815106406a4dc7507bb3e12c05a37f7879e183,modern_eval,Android/Agent,yes,high,20,vt_consensus_20,D:\DroidForensix\samples\malware\modern_eval\03818f12d9e7676c30efceb7b4815106406a4dc7507bb3e12c05a37f7879e183.apk
03a2c97e0ed693d31b8974b2383f2ccb2b3d5a6046042e242085c9817855b1cb,androzoo_drebin,AndroidOS,yes,high,41,vt_consensus_39,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_03a2c97e0ed693d31b8974b2383f2ccb2b3d5a6046042e242085c9817855b1cb.apk
0400c00cbcc6834ade203f8d515f5932972a3861256a9a7ca0a46638eec2a83e,abusech,Gen,yes,high,21,vt_consensus_21,D:\DroidForensix\samples\malware\abusech\unknown_0400c00cbcc6834ade203f8d515f5932972a3861256a9a7ca0a46638eec2a83e.apk
050d91cde706f7c981f90878dbd50d92038caeedd38852a10e018e57f188e79b,abusech,AndroidOS,yes,high,21,vt_consensus_21,D:\DroidForensix\samples\malware\abusech\unknown_050d91cde706f7c981f90878dbd50d92038caeedd38852a10e018e57f188e79b.apk
0526cff3ebb1fbfa493cf982fcba85409ae692157b25f9046469576bf58e8c4d,androzoo_drebin,FakeTimer,yes,high,37,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\FakeTimer_0526cff3ebb1fbfa493cf982fcba85409ae692157b25f9046469576bf58e8c4d.apk
05a2da9df1b4aed78e16349c17443ccd83cb48ed9e38e38d0c0b6ce808a9c2a8,modern_eval,SpyNote,yes,medium,0,existing:modern,D:\DroidForensix\samples\malware\modern_eval\05a2da9df1b4aed78e16349c17443ccd83cb48ed9e38e38d0c0b6ce808a9c2a8.apk
07e47fbf43c585155ddcdae49c3330c00ceceedf6c9f98432cf631769a21b206,androzoo_drebin,Opfake,yes,high,35,vt_consensus_35,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_07e47fbf43c585155ddcdae49c3330c00ceceedf6c9f98432cf631769a21b206.apk
090a30252991830596c75a945885ca3100d7a40edf4a16d78abd5bbfd90ba268,abusech,AndroidOS,yes,high,22,vt_consensus_22,D:\DroidForensix\samples\malware\abusech\unknown_090a30252991830596c75a945885ca3100d7a40edf4a16d78abd5bbfd90ba268.apk
090b5be26bcc4df6186124c2b47831eb96761fcf61282d63e13fa235a20c7539,androzoo_drebin,Plankton,yes,high,21,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_090b5be26bcc4df6186124c2b47831eb96761fcf61282d63e13fa235a20c7539.apk
091870b3f90c9a98000e0d14a67be2db5891ce98a0b1e24b721e3d96241620a5,abusech,AndroidOS,yes,high,23,vt_consensus_23,D:\DroidForensix\samples\malware\abusech\unknown_091870b3f90c9a98000e0d14a67be2db5891ce98a0b1e24b721e3d96241620a5.apk
0a02bda89021ac18c0c57979ea3c9d82c1054b5c9b375975401e3e21a2f4905a,modern_eval,Linux,yes,high,25,vt_consensus_25,D:\DroidForensix\samples\malware\modern_eval\0a02bda89021ac18c0c57979ea3c9d82c1054b5c9b375975401e3e21a2f4905a.apk
0a394ec6d7c750349a54d4893b83df31072900e804ce4845dcae763348c2e187,androzoo_drebin,Opfake,yes,high,38,vt_consensus_38,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_0a394ec6d7c750349a54d4893b83df31072900e804ce4845dcae763348c2e187.apk
0bc98459a42d1d0108a882671f4496f214f8a68400810b9e034cdd7212f5a4fa,modern_eval,SpyNote,yes,medium,0,existing:modern,D:\DroidForensix\samples\malware\modern_eval\0bc98459a42d1d0108a882671f4496f214f8a68400810b9e034cdd7212f5a4fa.apk
0be115e1e9b74780151148ea021f7d3e43ebc5e7dff808a890338f9e5a31427a,modern_eval,SMSreg,yes,high,23,vt_consensus_23,D:\DroidForensix\samples\malware\modern_eval\0be115e1e9b74780151148ea021f7d3e43ebc5e7dff808a890338f9e5a31427a.apk
0bfcd97d3b690babe1e96ec91af451e6f043edda34b9895e822c2e1ae2e21787,modern_eval,AndroidOS,yes,high,27,vt_consensus_27,D:\DroidForensix\samples\malware\modern_eval\0bfcd97d3b690babe1e96ec91af451e6f043edda34b9895e822c2e1ae2e21787.apk
0c5f6f74735692fce876d86c95d36c74df88eec9647853590ee8ec9b1fabfce1,androzoo_drebin,FakeInstaller,yes,high,32,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\FakeInstaller_0c5f6f74735692fce876d86c95d36c74df88eec9647853590ee8ec9b1fabfce1.apk
0c8890bd550dd21cc5b0feb9ad101984e194719b2656ac904b7aefb35765b15f,androzoo_drebin,SpyHasb,yes,high,30,vt_consensus_30,D:\DroidForensix\samples\malware\androzoo_drebin\SpyHasb_0c8890bd550dd21cc5b0feb9ad101984e194719b2656ac904b7aefb35765b15f.apk
0ca64e19e09d8af20a7a9269aca259da3406c5fd1c3627f92fb601af2c2d7d9a,androzoo_drebin,a,yes,high,34,vt_consensus_31,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_0ca64e19e09d8af20a7a9269aca259da3406c5fd1c3627f92fb601af2c2d7d9a.apk
0e9cb2bb3435c2f4e5893b5a28982337f96621b11ddc48cb73c14ce7910f825a,modern_eval,AndroidOS,yes,high,25,vt_consensus_25,D:\DroidForensix\samples\malware\modern_eval\0e9cb2bb3435c2f4e5893b5a28982337f96621b11ddc48cb73c14ce7910f825a.apk
0f021e137e7d3ef426d85f373f64ac53f1ee6c26efd2772cdc9ccb95ff09f9e4,androzoo_drebin,BaseBridge,yes,high,33,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\BaseBridge_0f021e137e7d3ef426d85f373f64ac53f1ee6c26efd2772cdc9ccb95ff09f9e4.apk
1035296bb576144475b684a9f703fc0220e8c0107a9e7e87c4bf76f72496b6c4,androzoo_drebin,FakeInstaller,yes,high,35,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\FakeInstaller_1035296bb576144475b684a9f703fc0220e8c0107a9e7e87c4bf76f72496b6c4.apk
10c902a0bb9645ee71ae95528fe90580120e628db17dcdefe8bf7ad4b4bbfc01,androzoo_drebin,Wooboo,yes,high,31,vt_consensus_31,D:\DroidForensix\samples\malware\androzoo_drebin\GinMaster_10c902a0bb9645ee71ae95528fe90580120e628db17dcdefe8bf7ad4b4bbfc01.apk
10f2dcb4f070e9bf8182512e2c3de42d583aceecdcb606298e7e76175430e307,androzoo_drebin,Iconosys,yes,high,35,vt_consensus_35,D:\DroidForensix\samples\malware\androzoo_drebin\Iconosys_10f2dcb4f070e9bf8182512e2c3de42d583aceecdcb606298e7e76175430e307.apk
11172b2f0ccaa49ab486b313bb61cfb8900126b15541540acf42ad73cf096133,androzoo_drebin,Airpush,yes,high,33,vt_consensus_33,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_11172b2f0ccaa49ab486b313bb61cfb8900126b15541540acf42ad73cf096133.apk
126012e515b74d7ceb3f21535a4bac4730fc990b1ab87ab22355809da0f5eb70,modern_eval,Application,yes,high,30,vt_consensus_30,D:\DroidForensix\samples\malware\modern_eval\126012e515b74d7ceb3f21535a4bac4730fc990b1ab87ab22355809da0f5eb70.apk
13055eb9348525e119e0012172f39727a870a420ee54ffe562ea42d6cb6724f4,androzoo_drebin,Plankton,yes,high,16,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_13055eb9348525e119e0012172f39727a870a420ee54ffe562ea42d6cb6724f4.apk
1370ba86f4c12ff1a8a0dd987b2be79a6ed13f7765e05b9711c544a7a2f288ea,abusech,Banker,yes,high,26,vt_consensus_26,D:\DroidForensix\samples\malware\abusech\unknown_1370ba86f4c12ff1a8a0dd987b2be79a6ed13f7765e05b9711c544a7a2f288ea.apk
13792ea5da63cc800e9c1cb1944d2ed66dedc2a2dfa940dbcd8828aa47c8b6ea,androzoo_drebin,a,yes,high,34,vt_consensus_34,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_13792ea5da63cc800e9c1cb1944d2ed66dedc2a2dfa940dbcd8828aa47c8b6ea.apk
149bde78b32be3c4c25379dd6c3310ce08eaf58804067a9870cfe7b4f51e62fe,androzoo_drebin,Plankton,yes,high,29,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_149bde78b32be3c4c25379dd6c3310ce08eaf58804067a9870cfe7b4f51e62fe.apk
14b005352c07490b3689ac4eb187eb68d2b50cd135e57e1bca2f3469b10e2dd5,abusech,AndroidOS,yes,high,30,vt_consensus_30,D:\DroidForensix\samples\malware\abusech\ermac_14b005352c07490b3689ac4eb187eb68d2b50cd135e57e1bca2f3469b10e2dd5.apk
14bafc31ee9bce174bca7df1c35d3b0ec11c573a1b0e3ecb1d5001409de1aeb5,modern_eval,AndroidOS,yes,high,26,vt_consensus_26,D:\DroidForensix\samples\malware\modern_eval\14bafc31ee9bce174bca7df1c35d3b0ec11c573a1b0e3ecb1d5001409de1aeb5.apk
1ba4bb9f0990697fa0c3b12ddf2d1f31ef385e14556c081f3f5e30dcbbf50f1a,modern_eval,AndroidOS,yes,high,23,vt_consensus_23,D:\DroidForensix\samples\malware\modern_eval\1ba4bb9f0990697fa0c3b12ddf2d1f31ef385e14556c081f3f5e30dcbbf50f1a.apk
1bbc9197e2b7a2090115a01d682934b79a88caa82d7c37ade39ae89a0f76129c,modern_eval,Gen,yes,high,26,vt_consensus_26,D:\DroidForensix\samples\malware\modern_eval\1bbc9197e2b7a2090115a01d682934b79a88caa82d7c37ade39ae89a0f76129c.apk
1c2d4a388c3109001751caf2cee1d27516286f4d1ff51dbf271e85dfc069ce98,modern_eval,SmsSend,yes,high,27,vt_consensus_27,D:\DroidForensix\samples\malware\modern_eval\1c2d4a388c3109001751caf2cee1d27516286f4d1ff51dbf271e85dfc069ce98.apk
1d132dc563405dbf978a35664780790fd9972de17e5110864f5cbbec0c6ce016,modern_eval,AndroidOS,yes,high,23,vt_consensus_23,D:\DroidForensix\samples\malware\modern_eval\1d132dc563405dbf978a35664780790fd9972de17e5110864f5cbbec0c6ce016.apk
1d6640a63db2d4909aa9d1f8f6d4698abd89f2171c33240f0c821e2a94e0cec7,modern_eval,HyPay,yes,high,16,vt_consensus_16,D:\DroidForensix\samples\malware\modern_eval\1d6640a63db2d4909aa9d1f8f6d4698abd89f2171c33240f0c821e2a94e0cec7.apk
1dd0ccbb47e46144a5e68afc619098730f561741618d89200ac9c06c460bf6e4,androzoo_drebin,Plankton,yes,high,41,vt_consensus_41,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_1dd0ccbb47e46144a5e68afc619098730f561741618d89200ac9c06c460bf6e4.apk
1e7276097313eb4ede32eba76886e42696ecd2de41a1a7aeac5536ce717319c0,modern_eval,Linux,yes,high,24,vt_consensus_24,D:\DroidForensix\samples\malware\modern_eval\1e7276097313eb4ede32eba76886e42696ecd2de41a1a7aeac5536ce717319c0.apk
1f30b62c19be5de98456ec6915f1618da92cab68f20bf36cf91473788437f87a,modern_eval,unknown,yes,medium,0,existing:modern,D:\DroidForensix\samples\malware\modern_eval\1f30b62c19be5de98456ec6915f1618da92cab68f20bf36cf91473788437f87a.apk
1ff001f3ea8ef13d562b99b11cee7c1004abf7de486c38e9dddbaa2b64efd992,androzoo_drebin,Zsone,yes,high,33,vt_consensus_33,D:\DroidForensix\samples\malware\androzoo_drebin\Zsone_1ff001f3ea8ef13d562b99b11cee7c1004abf7de486c38e9dddbaa2b64efd992.apk
208e85cc66f2ee482dce1c6ee5f1ea45592e9fc9980c1b04b5157975d127dcf1,abusech,GenericKD,yes,high,33,vt_consensus_33,D:\DroidForensix\samples\malware\abusech\208e85cc66f2ee482dce1c6ee5f1ea45592e9fc9980c1b04b5157975d127dcf1.apk
21c91c4cb01c7fd286dc8fa6122f6c43a5227677ffbe3566aa37204cd9e494fe,abusech,AndroidOS,yes,high,24,vt_consensus_24,D:\DroidForensix\samples\malware\abusech\unknown_21c91c4cb01c7fd286dc8fa6122f6c43a5227677ffbe3566aa37204cd9e494fe.apk
21ea92178eccae3f448345dcab84d98f21a6b32ea412265d858665973874b5df,androzoo_drebin,FakeInst,yes,high,39,vt_consensus_39,D:\DroidForensix\samples\malware\androzoo_drebin\FakeInstaller_21ea92178eccae3f448345dcab84d98f21a6b32ea412265d858665973874b5df.apk
2211e5b751634ef3681bff599b25d57f47f1593bc27aeb83273ee63a64d62e25,abusech,Agent,yes,high,33,vt_consensus_33,D:\DroidForensix\samples\malware\abusech\teabot_2211e5b751634ef3681bff599b25d57f47f1593bc27aeb83273ee63a64d62e25.apk
22670788ea0108e1e205f34e0a039f994bc94f19563b6f09784074b41f61cc53,androzoo_drebin,Backdoor,yes,high,41,vt_consensus_41,D:\DroidForensix\samples\malware\androzoo_drebin\DroidKungFu_22670788ea0108e1e205f34e0a039f994bc94f19563b6f09784074b41f61cc53.apk
238a4de3f693e8ae8506c72aab6838837a5fc92ae233c813404a1750204fa09d,androzoo_drebin,NickiSpy,yes,high,34,vt_consensus_31,D:\DroidForensix\samples\malware\androzoo_drebin\Nickspy_238a4de3f693e8ae8506c72aab6838837a5fc92ae233c813404a1750204fa09d.apk
23d0741fc039ce734de0a50d6d8451fc3eabf702b3f707badb6d39e2b4faea65,modern_eval,AndroidOS,yes,high,25,vt_consensus_25,D:\DroidForensix\samples\malware\modern_eval\23d0741fc039ce734de0a50d6d8451fc3eabf702b3f707badb6d39e2b4faea65.apk
255eae7859b0855b15de30e5405a2714837ac556c238bc009ac74c5bfa69714a,androzoo_drebin,Nisev,yes,high,35,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\Nisev_255eae7859b0855b15de30e5405a2714837ac556c238bc009ac74c5bfa69714a.apk
269a98c5a2e16675eacd3490f382ac08d894737e629b92c1a69070cc471eed36,abusech,NGate,yes,high,13,vt_consensus_13,D:\DroidForensix\samples\malware\abusech\unknown_269a98c5a2e16675eacd3490f382ac08d894737e629b92c1a69070cc471eed36.apk
27adebb28c7871e192407c86a69b9b1ec6a1b8ecaf535d96f88f00bb54423b26,androzoo_drebin,AndroidOS,yes,high,37,vt_consensus_37,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_27adebb28c7871e192407c86a69b9b1ec6a1b8ecaf535d96f88f00bb54423b26.apk
2ab29825e9454a4b87d661dfc55842943e30b86600d2848796d96241e92307c2,abusech,Agent,yes,high,15,vt_consensus_15,D:\DroidForensix\samples\malware\abusech\unknown_2ab29825e9454a4b87d661dfc55842943e30b86600d2848796d96241e92307c2.apk
2bda9042eef834886047cb07ea1fe44844bd5d373c96afe96ec8a39e487d2bb7,modern_eval,HyPay,yes,high,21,vt_consensus_21,D:\DroidForensix\samples\malware\modern_eval\2bda9042eef834886047cb07ea1fe44844bd5d373c96afe96ec8a39e487d2bb7.apk
2c74efb0e8304948e56f4ccb1ced6c05734842ecdc95628decacfa74d06baf6c,abusech,AndroidOS,yes,high,31,vt_consensus_28,D:\DroidForensix\samples\malware\abusech\flubot_2c74efb0e8304948e56f4ccb1ced6c05734842ecdc95628decacfa74d06baf6c.apk
2cc755a2c9dae64ea5914bd32aa6824a3bc1f0e3be1f2d03c116ffc68f7772d0,modern_eval,GhostBat,yes,medium,0,existing:modern,D:\DroidForensix\samples\malware\modern_eval\2cc755a2c9dae64ea5914bd32aa6824a3bc1f0e3be1f2d03c116ffc68f7772d0.apk
3063914cc10de86a689070151a61172fc17619e71d1bd643a3d0cf94b84e10a8,modern_eval,AndroidOS,yes,high,18,vt_consensus_18,D:\DroidForensix\samples\malware\modern_eval\3063914cc10de86a689070151a61172fc17619e71d1bd643a3d0cf94b84e10a8.apk
315e29c580f1720dfc0f7ef7d48beeb3321f3bf343646e022420af119ad7a370,androzoo_drebin,Opfake,yes,high,36,existing:gt_json,D:\DroidForensix\samples\malware\androzoo_drebin\Opfake_315e29c580f1720dfc0f7ef7d48beeb3321f3bf343646e022420af119ad7a370.apk
326fc668fbf5dd4812b075fd963994e1378a0533637899eb07e639bcb9ecd733,androzoo_drebin,Imlog,yes,high,34,vt_consensus_34,D:\DroidForensix\samples\malware\androzoo_drebin\Imlog_326fc668fbf5dd4812b075fd963994e1378a0533637899eb07e639bcb9ecd733.apk
328ff57e39148daf440359709e92989aad445f1b41b3f33135238a9343317d85,androzoo_drebin,Adware,yes,high,34,vt_consensus_34,D:\DroidForensix\samples\malware\androzoo_drebin\Plankton_328ff57e39148daf440359709e92989aad445f1b41b3f33135238a9343317d85.apk
32e4dee58ea17addc5df4ffb862ab3a8df1697598cb6437f92de4075665812c2,abusech,Banker,yes,high,28,vt_consensus_28,D:\DroidForensix\samples\malware\abusech\ermac_32e4dee58ea17addc5df4ffb862ab3a8df1697598cb6437f92de4075665812c2.apk
33d27a5f6b07557021fc4c7959bef4c0e7ee79cc3991e7e213de976b60af1147,androzoo_drebin,Typstu,yes,high,35,vt_consensus_35,D:\DroidForensix\samples\malware\androzoo_drebin\Typstu_33d27a5f6b07557021fc4c7959bef4c0e7ee79cc3991e7e213de976b60af1147.apk
33d2ea973f861bb7c46397c4e0f9aedc37ef10fb8ab2f4090f35a335d86ef0b2,abusech,SpyMax,yes,high,29,vt_consensus_29,D:\DroidForensix\samples\malware\abusech\spynote_33d2ea973f861bb7c46397c4e0f9aedc37ef10fb8ab2f4090f35a335d86ef0b2.apk
345bbac79d218919228838242d35fc475a7aab28d303d1d51ac6078cd59197d6,abusech,SpyMax,yes,low,2,vt_detected_2,D:\DroidForensix\samples\malware\abusech\unknown_345bbac79d218919228838242d35fc475a7aab28d303d1d51ac6078cd59197d6.apk
3502fa570ada49eaeeaa4785bb1897ed91dfadaa76c5e8626c5b8e944d8f5f01,abusech,Dropper,yes,high,32,vt_consensus_32,D:\DroidForensix\samples\malware\abusech\Konfety_3502fa570ada49eaeeaa4785bb1897ed91dfadaa76c5e8626c5b8e944d8f5f01.apk
3504d9f2a2fdf021a382be4e2603acbdb5550ac2ddf26f62da1c2227b1f7f400,abusech,GenericKD,yes,high,39,vt_consensus_39,D:\DroidForensix\samples\malware\abusech\exobot_3504d9f2a2fdf021a382be4e2603acbdb5550ac2ddf26f62da1c2227b1f7f400.apk
352e2e2b57138099966a3a558f9eb3d6a88c27fa6d401f767b36e5cf3440f06a,androzoo_drebin,FakeInst,yes,high,38,vt_consensus_38,D:\DroidForensix\samples\malware\androzoo_drebin\FakeInstaller_352e2e2b57138099966a3a558f9eb3d6a88c27fa6d401f767b36e5cf3440f06a.apk
357d6a12b37bf72550d9df5035f25157d3ca75e1a69e71783586ee4759ee7b45,modern_eval,unknown,yes,medium,0,existing:modern,D:\DroidForensix\samples\malware\modern_eval\357d6a12b37bf72550d9df5035f25157d3ca75e1a69e71783586ee4759ee7b45.apk
