sample_name,full_path,source,size_bytes,error_type
0024220A0796C83417F5FF5A7CC464CB90991839748BDCA4A2DD84865DA483D3.apk,samples/goodware/benign_eval/0024220A0796C83417F5FF5A7CC464CB90991839748BDCA4A2DD84865DA483D3.apk,benign_eval,48670821,error: timeout after 900s
001CC622BA7C1133EFE45EF4802094CAAA95BBBBFB3E81201D48B22A6C9FF146.apk,samples/goodware/benign_eval/001CC622BA7C1133EFE45EF4802094CAAA95BBBBFB3E81201D48B22A6C9FF146.apk,benign_eval,48844442,error: timeout after 900s
004C786B9D6CFB80313226A0039D906EC627529D70EDEA2AB23C0F689AF835DF.apk,samples/goodware/benign_eval/004C786B9D6CFB80313226A0039D906EC627529D70EDEA2AB23C0F689AF835DF.apk,benign_eval,53831750,error: timeout after 900s
001ED8463D7AECD120057B0F73FF1B732A90469C952EE8CAFA9DE94B19033E90.apk,samples/goodware/benign_eval/001ED8463D7AECD120057B0F73FF1B732A90469C952EE8CAFA9DE94B19033E90.apk,benign_eval,61714597,error: timeout after 900s
00419D4DA78B50F1AA0E1DC0AFB69F7062D064E0999549929D307C9EB08F3348.apk,samples/goodware/benign_eval/00419D4DA78B50F1AA0E1DC0AFB69F7062D064E0999549929D307C9EB08F3348.apk,benign_eval,62179944,error: Step 4 (Payload Decoding) failed: UnicodeEn
unknown_b2225250a1fcff06750f32d3abb999ffe26fbd21abc7b87ff0e91f8e0449652c.apk,samples/malware/abusech/unknown_b2225250a1fcff06750f32d3abb999ffe26fbd21abc7b87ff0e91f8e0449652c.apk,MalwareBazaar,66781865,error: timeout after 900s
00018A5DE07BEFD97112A72FA7850C6B0267167D61A74DE16F2AE641B37A1860.apk,samples/goodware/benign_eval/00018A5DE07BEFD97112A72FA7850C6B0267167D61A74DE16F2AE641B37A1860.apk,benign_eval,67745684,error: timeout after 900s
0009582BCA97A9B0173BF0A992C417426D1D7D4E79F15F5B6F205BD2B3869884.apk,samples/goodware/benign_eval/0009582BCA97A9B0173BF0A992C417426D1D7D4E79F15F5B6F205BD2B3869884.apk,benign_eval,68667708,error: timeout after 900s
000AE491C179314322821CA65782E8F81163D11DF5D278A0375294C40ACB7BCF.apk,samples/goodware/benign_eval/000AE491C179314322821CA65782E8F81163D11DF5D278A0375294C40ACB7BCF.apk,benign_eval,69684176,error: timeout after 900s
0005394CA712861BA3064A1AA693BC37E5092A22FA43F52DED3706EDE452282F.apk,samples/goodware/benign_eval/0005394CA712861BA3064A1AA693BC37E5092A22FA43F52DED3706EDE452282F.apk,benign_eval,71552760,error: timeout after 900s
001B949114C2309F7123871033B1D0CE81294F99AFB74FA688892A44B7BE30F3.apk,samples/goodware/benign_eval/001B949114C2309F7123871033B1D0CE81294F99AFB74FA688892A44B7BE30F3.apk,benign_eval,71688158,error: timeout after 900s
0021BBAB8F6952ED60875A25710B616E587D8A41DB4A6C2D9697C09E552A04F9.apk,samples/goodware/benign_eval/0021BBAB8F6952ED60875A25710B616E587D8A41DB4A6C2D9697C09E552A04F9.apk,benign_eval,74020529,error: Step 4 (Payload Decoding) failed: UnicodeEn
00142796A7DE7A8FA2FCFE59E41D021D53E98FF14670D89503A9631654B228D4.apk,samples/goodware/benign_eval/00142796A7DE7A8FA2FCFE59E41D021D53E98FF14670D89503A9631654B228D4.apk,benign_eval,77234475,error: timeout after 900s
0039DB66711D02DDC1A55668B78C54434964B3D0941ADE3669128BC5C50FB7C3.apk,samples/goodware/benign_eval/0039DB66711D02DDC1A55668B78C54434964B3D0941ADE3669128BC5C50FB7C3.apk,benign_eval,77776435,error: timeout after 900s
00112BB0B3A4CA8AE3CAE96FF750BF5279E5D80825D4ABFFF63A8A6381586F37.apk,samples/goodware/benign_eval/00112BB0B3A4CA8AE3CAE96FF750BF5279E5D80825D4ABFFF63A8A6381586F37.apk,benign_eval,79154807,error: timeout after 900s
0011135860F3C1F50A6960472E5A6ED3161A94800791B3F1A8B0DF3C7F5B7697.apk,samples/goodware/benign_eval/0011135860F3C1F50A6960472E5A6ED3161A94800791B3F1A8B0DF3C7F5B7697.apk,benign_eval,84489112,error: timeout after 900s
00159A864F4AA4C343E7A3411186BCE572B1FDACD87CA4BBB4349207D8D95EC3.apk,samples/goodware/benign_eval/00159A864F4AA4C343E7A3411186BCE572B1FDACD87CA4BBB4349207D8D95EC3.apk,benign_eval,89417501,error: timeout after 900s
0a02bda89021ac18c0c57979ea3c9d82c1054b5c9b375975401e3e21a2f4905a.apk,samples/malware/modern_eval/0a02bda89021ac18c0c57979ea3c9d82c1054b5c9b375975401e3e21a2f4905a.apk,modern_eval,92272932,error: timeout after 900s
1e7276097313eb4ede32eba76886e42696ecd2de41a1a7aeac5536ce717319c0.apk,samples/malware/modern_eval/1e7276097313eb4ede32eba76886e42696ecd2de41a1a7aeac5536ce717319c0.apk,modern_eval,92379657,error: timeout after 900s
002F1E33A714CD3434A27DEC2D09ACC4D0B9602560F13FF6A3D30C3CE32A3D8D.apk,samples/goodware/benign_eval/002F1E33A714CD3434A27DEC2D09ACC4D0B9602560F13FF6A3D30C3CE32A3D8D.apk,benign_eval,92868032,error: timeout after 900s
001E978EB716318BCFA06BBB424F3F177056C3B346B5B1B1EBB0F3C2CF11B0B3.apk,samples/goodware/benign_eval/001E978EB716318BCFA06BBB424F3F177056C3B346B5B1B1EBB0F3C2CF11B0B3.apk,benign_eval,114226716,error: Pipeline process exited with code -9
004D0AD50F0C8C27563E043D4A4EA9AAB0173E4554D1099A83904AE6347D98A2.apk,samples/goodware/benign_eval/004D0AD50F0C8C27563E043D4A4EA9AAB0173E4554D1099A83904AE6347D98A2.apk,benign_eval,196367504,error: timeout after 900s
